,Oil_store,주소,가격,셀프,상표,구
471,쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),1504.0,Y,S-OIL,도봉구
472,오복주유소,서울 도봉구 방학로 43 (방학동),1508.0,Y,S-OIL,도봉구
473,극동유화(주)대안주유소,서울 도봉구 마들로 574 (창동),1508.0,Y,S-OIL,도봉구
474,도봉주유소,서울 도봉구 도봉로 895 (도봉동),1510.0,Y,GS칼텍스,도봉구
475,방학동주유소,서울특별시 도봉구  방학로 186 (방학동),1512.0,Y,GS칼텍스,도봉구
476, 현대오일뱅크㈜ 직영 쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),1519.0,Y,현대오일뱅크,도봉구
477,서현주유소,서울 특별시 도봉구 방학로 142 (방학동),1524.0,Y,S-OIL,도봉구
478,동일석유(주) 창동주유소,서울특별시 도봉구  도봉로 434 (창동),1529.0,N,SK에너지,도봉구
479,(주)디케이비엠시구도일주유소도봉,서울특별시 도봉구  도봉로 706 (방학동),1529.0,Y,S-OIL,도봉구
480,(주)소모에너지엔테크놀러지 신중계주유소,서울 도봉구 방학로 21 (방학동),1538.0,N,GS칼텍스,도봉구
481,우이동주유소,서울 도봉구 삼양로 630 (쌍문동),1539.0,N,S-OIL,도봉구
482,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),1548.0,N,GS칼텍스,도봉구
483,도담주유소,서울특별시 도봉구  도봉로 941 (도봉동),1559.0,N,SK에너지,도봉구
484,제일주유소,서울 도봉구 해등로3길 86 (창동),1598.0,N,S-OIL,도봉구
485,sk네트웍스 영신주유소,서울특별시 도봉구  방학로 151 (방학동 671-2),1639.0,N,SK에너지,도봉구
486,해와달주유소,서울 도봉구 마들로 776 (도봉동),1998.0,N,현대오일뱅크,도봉구
487,(주)보성 세곡주유소,서울특별시 강남구  헌릉로 731 (세곡동),1548.0,Y,SK에너지,강남구
488,SK서광주유소,서울 강남구 역삼로 142 (역삼동),1565.0,Y,SK에너지,강남구
489, 현대오일뱅크㈜ 직영 도곡셀프주유소,서울특별시 강남구  남부순환로 2718 (도곡동),1566.0,Y,현대오일뱅크,강남구
490,(주)정원이디에쓰 산성주유소,서울 강남구 헌릉로 730 (세곡동),1568.0,Y,GS칼텍스,강남구
491,현대오일뱅크(주)유진주유소,서울 강남구 논현로 152 (도곡동),1586.0,N,현대오일뱅크,강남구
492,(주)한진 도곡주유소,서울특별시 강남구  도곡로 162 (도곡동),1590.0,N,S-OIL,강남구
493,방죽주유소,서울특별시 강남구 밤고개로 215 (율현동),1595.0,Y,S-OIL,강남구
